"","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Date","Publisher","Conference.Name","fishy","RC6","RC0","RC7","RC1","RC4","RC2","RC3","RC10","NR","RC11","RC9","RC5"
"669",1983,"Bosence, D.W.J.","Coralline algal reef frameworks.","Journal - Geological Society London","","","10.1144/gsjgs.140.3.0365","1983","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"670",2019,"Boch, Charles A.; Devogelaere, Andrew; Burton, Erica; King, Chad; Lord, Joshua; Lovera, Christopher; Litvin, Steven Y.; Kuhnz, Linda; Barry, James P.","Coral translocation as a method to restore impacted deep-sea coral communities","Frontiers in Marine Science","","22967745","10.3389/fmars.2019.00540","2019","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"671",1988,"Boussaid, F.; Martin, G.; Morvan, J.; Collin, J.J.; Landreau, A.","Denitrification in-situ of groundwaters with solid carbon matter","Environmental Technology Letters","","01432060","10.1080/09593338809384636","1988","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"672",2018,"Bond, T.; Langlois, T.J.; Partridge, J.C.; Birt, M.J.; Malseed, B.E.; Smith, L.; McLean, D.L.","Diel shifts and habitat associations of fish assemblages on a subsea pipeline","Fisheries Research","","01657836","10.1016/j.fishres.2018.05.011","2018","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"673",1988,"Bowers, J.A.","Diel vertical migration of the opossum shrimp Mysis relicta in Lake Superior: observations and sampling from the Johnson-Sea-Link II submersible","Bulletin of Marine Science","","00074977",NA,"1988","","",0,0,0,0,0,0,0,1,0,0,0,0,0
"674",2018,"Bowers, Holly A.; Ryan, John P.; Hayashi, Kendra; Woods, April L.; Marin, III, Roman; Smith, G. Jason; Hubbard, Katherine A.; Doucette, Gregory J.; Mikulski, Christina M.; Gellene, Alyssa G.; Zhang, Yanwu; Kudela, Raphael M.; Caron, David A.; Birch, James M.; Scholin, Christopher A.","Diversity and toxicity of ¡i¿Pseudo-nitzschia¡/i¿ species in Monterey Bay: Perspectives from targeted and adaptive sampling","HARMFUL ALGAE","","1568-9883","10.1016/j.hal.2018.08.006","2018","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"675",2021,"Bonifacio, Paulo; Neal, Lenka; Menot, Lenaick","Diversity of deep-sea scale-worms (annelida, polynoidae) in the clarion-clipperton fracture zone","Frontiers in Marine Science","","22967745","10.3389/fmars.2021.656899","2021","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"676",2022,"Borland, Hayden P.; Gilby, Ben L.; Henderson, Christopher J.; Connolly, Rod M.; Gorissen, Bob; Ortodossi, Nicholas L.; Rummell, Ashley J.; Pittman, Simon J.; Sheaves, Marcus; Olds, Andrew D.","Dredging fundamentally reshapes the ecological significance of 3D terrain features for fish in estuarine seascapes","Landscape Ecology","","09212973","10.1007/s10980-021-01394-5","2022","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"677",2022,"Borland, Hayden P.; Gilby, Ben L.; Henderson, Christopher J.; Connolly, Rod M.; Gorissen, Bob; Ortodossi, Nicholas L.; Rummell, Ashley J.; Pittman, Simon J.; Sheaves, Marcus; Olds, Andrew D.","Dredging transforms the seafloor and enhances functional diversity in urban seascapes","Science of the Total Environment","","00489697","10.1016/j.scitotenv.2022.154811","2022","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"678",2015,"Bouchet, P.J.; Meeuwig, J.J.","Drifting baited stereo-videography: A novel sampling tool for surveying pelagic wildlife in offshore marine reserves","Ecosphere","","21508925","10.1890/ES14-00380.1","2015","","",0,0,0,0,0,0,0,1,0,0,0,0,0
"679",2020,"Boudouresque, C. F.; Astruch, P.; Banaru, D.; Blanfune, A.; Belloni, B.; Changeux, T.; Chevaldonne, P.; Fernandez, C.; Harmelin, J. G.; Perez, T.; Pergent, G.; Pergent-Martini, C.; Ruitton, S.; Thibaut, T.","Ecosystem-based quality indices: Valuable tools for environment management","Vie et Milieu/Life & Environment","","0240-8759",NA,"2020","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"680",2022,"Bosch, Nestor E.; Monk, Jacquomo; Goetze, Jordan; Wilson, Shaun; Babcock, Russell C.; Barrett, Neville; Clough, Jock; Currey-Randall, Leanne M.; Fairclough, David V.; Fisher, Rebecca; Gibbons, Brooke A.; Harasti, David; Harvey, Euan S.; Heupel, Michelle R.; Hicks, Jamie L.; Holmes, Thomas H.; Huveneers, Charlie; Ierodiaconou, Daniel; Jordan, Alan; Knott, Nathan A.; Malcolm, Hamish A.; McLean, Dianne; Meekan, Mark; Newman, Stephen J.; Radford, Ben; Rees, Matthew J.; Saunders, Benjamin J.; Speed, Conrad W.; Travers, Michael J.; Wakefield, Corey B.; Wernberg, Thomas; Langlois, Tim J.","Effects of human footprint and biophysical factors on the body-size structure of fished marine species","Conservation Biology","","08888892","10.1111/cobi.13807","2022","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"681",2000,"Bowen, M.F.; Bernard, P.J.; Gleason, D.E.; Whitcomb, L.L.","Elevators - autonomous transporters for deepsea benthic sample recovery","Oceans Conference Record (IEEE)","","01977385","10.1575/1912/56","2000","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"682",2020,"Bolser, Derek G.; Egerton, Jack P.; Gruss, Arnaud; Loughran, Tyler; Beyea, Taylor; McCain, Kyle; Erisman, Brad E.","Environmental and structural drivers of fish distributions among petroleum platforms across the U.S. gulf of mexico","Marine and Coastal Fisheries","","19425120","10.1002/mcf2.10116","2020","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"683",2018,"Bonin-Font, Francisco; Lalucat, Jordi; Oliver-Codina, Gabriel; Massot-Campos, Miquel; Font, Eric Guerrero; Carrasco, Pep Lluis Negre","Evaluating the impact of sewage discharges on the marine environment with a lightweight AUV","Marine Pollution Bulletin","","0025326X","10.1016/j.marpolbul.2018.07.071","2018","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"684",2018,"Bobkov, V.; Scherbatyuk, A.; Sporyshev, M.","Evaluation of the effectiveness of the visual navigation technique for an autonomous underwater vehicle","2018 OCEANS - MTS/IEEE Kobe Techno-Oceans, OCEANS - Kobe 2018","","","10.1109/OCEANSKOBE.2018.8559145","2018","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"685",2022,"Borovik, A.I.; Rybakova, E.I.; Galkin, S.V.; Mikhailov, D.N.; Konoplin, A. Yu.","Experience of using the autonomous underwater vehicle MMT-3000 for research on benthic communities in antartica","Oceanology","","00014370","10.1134/S0001437022050034","2022","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"686",2004,"Bowen, Andrew D.; Yoerger, Dana R.; Whitcomb, Louis L.; Fornari, Daniel J.","Exploring the deepest depths: Preliminary design of a novel light-tethered hybrid ROV for global science in extreme environments","Marine Technology Society Journal","","00253324","10.4031/002533204787522776","2004","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"687",2011,"Bower, Amy; Lozier, Susan; Gary, Stefan","Export of labrador sea water from the subpolar north atlantic: A lagrangian perspective","Deep-Sea Research Part II: Topical Studies in Oceanography","","09670645","10.1016/j.dsr2.2010.10.060","2011","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"688",2018,"Bond, T.; Partridge, J.C.; Taylor, M.D.; Langlois, T.J.; Malseed, B.E.; Smith, L.D.; McLean, D.L.","Fish associated with a subsea pipeline and adjacent seafloor of the North West Shelf of Western Australia","Marine Environmental Research","","01411136","10.1016/j.marenvres.2018.08.003","2018","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"689",2017,"Bollati, Elena; Plimmer, Daniel; D'Angelo, Cecilia; Wiedenmann, Jorg","FRET-Mediated long-range wavelength transformation by photoconvertible fluorescent proteins as an efficient mechanism to generate orange-red light in symbiotic deep water corals","International Journal of Molecular Sciences","","16616596","10.3390/ijms18071174","2017","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"690",2010,"Bongaerts, P; Riginos, Cynthia; Ridgway, Tyrone; Sampayo, EM; van Oppen, MJH; Englebert, N; Vermeulen, F; Hoegh-Guldberg, O","Genetic Divergence across Habitats in the Widespread Coral <i>Seriatopora hystrix</i> and Its Associated Symbiodinium","PLoS ONE","","","10.1371/journal.pone.0010871","2010","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"691",1997,"Bogdanov, Yu.A.; Gurvich, E.G.; Lukashin, V.N.","Geochemistry of ore occurrences in the 14Â°45'n hydrothermal field, mid-atlantic ridge","Geokhimiya","","00167525",NA,"1997","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"692",1997,"Bogdanov, Yu.A.; Sagalevich, A.M.; Galkin, S.V.; Chernyaev, E.S.; Lukashin, V.N.; Ivanov, G.V.","Geological and biological studies in the northern part of the Mohn's Ridge (Norwegian Sea)","Oceanology","","00014370",NA,"1997","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"693",1997,"Bobbitt, Andra M.; Dziak, Robert P.; Stafford, Kathleen M.; Fox, Christopher G.","Gis analysis of remotely sensed and field observation oceanographic data","Marine Geodesy","","01490419","10.1080/01490419709388102","1997","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"694",2022,"Bollati, Elena; Lyndby, Niclas H.; D'angelo, Cecilia; Kuhl, Michael; Wiedenmann, Jorg; Wangpraseurt, Daniel","Green fluorescent protein-like pigments optimize the internal light environment in symbiotic reef building corals","eLife","","2050084X","10.7554/elife.73521","2022","","",0,0,0,0,1,0,1,0,0,0,0,0,0
"695",2023,"Bond, Todd; Niyazi, Yakufu; Kolbusz, Jessica L.; Jamieson, Alan J.","Habitat and benthic fauna of the Wallaby-Cuvier escarpment, SE Indian ocean","Deep-Sea Research Part II: Topical Studies in Oceanography","","09670645","10.1016/j.dsr2.2023.105299","2023","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"696",2019,"Boswarva, K.L.; Howe, J.A.; Obando, R.; Fox, C.; Narayanaswamy, B.E.; Haussermann, V.; Abernethy, C.","Habitat mapping in the fjords of the Chilean Patagonia using an autonomous underwater vehicle","Seafloor Geomorphology as Benthic Habitat: GeoHab Atlas of Seafloor Geomorphic Features and Benthic Habitats","978-0-12-814960-7 978-0-12-814961-4","","","2019","Elsevier","",0,0,0,0,0,1,0,0,0,1,0,0,0
"697",2017,"Borland, Hayden P.; Schlacher, Thomas A.; Gilby, Ben L.; Connolly, Rod M.; Yabsley, Nicholas A.; Olds, Andrew D.","Habitat type and beach exposure shape fish assemblages in the surf zones of ocean beaches","Marine Ecology Progress Series","","01718630","10.3354/meps12115","2017","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"698",2023,"Bodenmann, Adrian; Cappelletto, Jose; Massot-Campos, Miquel; Newborough, Darryl; Chaney, Ed; Marlow, Rachel; Templeton, Robert; Phillips, Alexander B.; Bett, Brian J.; Wardell, Catherine; Thornton, Blair","High-resolution visual seafloor mapping and classification using long range capable AUV for ship-free benthic surveys","2023 IEEE International Symposium on Underwater Technology, UT 2023","","","10.1109/UT49729.2023.10103421","2023","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"699",2008,"Boyd, Ron; Ruming, Kevin; Goodwin, Ian; Sandstrom, Marianne; Schroder-Adams, Claudia","Highstand transport of coastal sand to the deep ocean: A case study from Fraser Island, southeast Australia","Geology","","00917613","10.1130/G24211A.1","2008","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"700",2008,"Boas, Gary","Holding your breath with flow cytometry","Biophotonics International","","10818693",NA,"2008","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"701",1996,"Bogdanov, Yu.A.; Sagalevich, A.M.; Chernyayev, Ye.S.; Ashadze, A.M.; Gurvich, Ye.G.; Lukashin, V.N.; Ivanov, G.V.; Peresypkin, V.I.","Hydrothermal field on the Mid-Atlantic Ridge at latitude 14Â° 45minutes N","Transactions (Doklady) of the Russian Academy of Sciences. Earth science sections.","","10833552",NA,"1996","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"702",2018,"Boswarva, Karen; Butters, Alyssa; Fox, Clive J.; Howe, John A.; Narayanaswamy, Bhavani","Improving marine habitat mapping using high-resolution acoustic data; a predictive habitat map for the Firth of Lorn, Scotland","Continental Shelf Research","","02784343","10.1016/j.csr.2018.09.005","2018","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"703",2015,"Borgogna, Gerardo; Lamberti, Thomas; Massardo, Aristide Fausto","Innovative power system for autonomous underwater vehicle","MTS/IEEE OCEANS 2015 - Genova: Discovering Sustainable Ocean Energy for a New World","","","10.1109/OCEANS-Genova.2015.7271339","2015","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"704",2023,"Bolstad, K.S.R.; Amsler, M.O.; Broyer, C. De; Komoda, M.; Iwasaki, H.","In-situ observations of an intact natural whale fall in Palmer deep, Western Antarctic Peninsula","Polar Biology","","07224060","10.1007/s00300-022-03109-1","2023","","",0,0,0,0,0,0,0,1,0,0,0,0,0
"705",2012,"Bowen, Andrew; German, Christopher; Jakuba, Michael; Kinsey, James C.; Mayer, Larry; Yoerger, Dana; Whitcomb, Louis L.","Lightly tethered unmanned underwater vehicle for under-ice exploration","IEEE Aerospace Conference Proceedings","","1095323X","10.1109/AERO.2012.6187038","2012","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"706",1996,"Bourcier, M.","Long-term changes (1954 to 1982) in the benthic macrofauna under the combined effects of anthropogenic and climatic action (example of one Mediterranean bay)","Oceanologica Acta","","03991784",NA,"1996","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"707",2003,"Bosence, Dan; Wilson, John","Maerl growth, carbonate production rates and accumulation rates in the northeast Atlantic","Aquatic Conservation: Marine and Freshwater Ecosystems","","10527613","10.1002/aqc.565","2003","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"708",2015,"Bombar, Deniz; Taylor, Craig D.; Wilson, Samuel T.; Robidart, Julie C.; Rabines, Ariel; Turk-Kubo, Kendra A.; Kemp, John N.; Karl, David M.; Zehr, Jonathan P.","Measurements of nitrogen fixation in the oligotrophic North Pacific Subtropical Gyre using a free-drifting submersible incubation device","Journal of Plankton Research","","01427873","10.1093/plankt/fbv049","2015","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"709",2015,"Boury-Esnault, Nicole; Vacelet, Jean; Reiswig, Henry M.; Fourt, Maia; Aguilar, Ricardo","Mediterranean hexactinellid sponges, with the description of a new Sympagella species (Porifera, Hexactinellida)","Journal of the Marine Biological Association of the United Kingdom","","00253154","10.1017/S0025315414001891","2015","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"710",2022,"Bongaerts, Pim","Mesophotic coral ecosystems","Current Biology","","18790445","10.1016/j.cub.2022.03.036","2022","","",0,1,0,0,0,0,1,0,0,0,0,0,0
"711",2011,"Bongaerts, P.; Bridge, T.C.L.; Kline, D.I.; Muir, P.R.; Wallace, C.C.; Beaman, R.J.; Hoegh-Guldberg, O.","Mesophotic coral ecosystems on the walls of Coral Sea atolls","Coral Reefs","","07224028","10.1007/s00338-011-0725-7","2011","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"712",2019,"Bongaerts, Pim; Perez-Rosales, Gonzalo; Radice, Veronica Z.; Eyal, Gal; Gori, Andrea; Gress, Erika; Hammerman, Nicholas M.; Hernandez-Agreda, Alejandra; Laverick, Jack; Muir, Paul; Pinheiro, Hudson; Pyle, Richard L.; Rocha, Luiz; Turner, Joseph A.; Booker, Ryan","Mesophotic.org: a repository for scientific information on mesophotic ecosystems","Database : the journal of biological databases and curation","","17580463","10.1093/database/baz140","2019","","",0,0,0,0,0,0,1,0,0,0,0,0,0
"713",2021,"Boeuf, Dominique; Eppley, John M.; Mende, Daniel R.; Malmstrom, Rex R.; Woyke, Tanja; DeLong, Edward F.","Metapangenomics reveals depth-dependent shifts in metabolic potential for the ubiquitous marine bacterial SAR324 lineage","MICROBIOME","","2049-2618","10.1186/s40168-021-01119-5","2021","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"714",2001,"Boyd, Trevor D.; Scott, S.D.","Microbial and hydrothermal aspects of ferric oxyhydroxides and ferrosic hydroxides: The example of Franklin Seamount, Western Woodlark Basin, Papua New Guinea","Geochemical Transactions","","14674866","10.1039/b105277m","2001","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"715",1990,"Bowers, James A.; Cooper, William E.; Hall, Donald J.","Midwater and epibenthic behaviors of Mysis relicta Loven: Observations from the Johnson-Sea-Link II submersible in Lake Superior and from a remotely operated vehicle in northern Lake Michigan","Journal of Plankton Research","","01427873","10.1093/plankt/12.6.1279","1990","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"716",2021,"Boissin, Emilie; Bourmaud, Chloe Annie-France; Ballesta, Laurent; Mulochau, Thierry; Gravier-Bonnet, Nicole","<i>Millepora</i> aff. <i>exaesa</i> (cnidaria, hydrozoa) recorded in the mesophotic environment of mount la perouse, southwestern indian ocean-expedition la perouse 2019","Diversity","","14242818","10.3390/d13100474","2021","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"717",2002,"Bogdanov, Yu.A.; Bortnikov, N.S.; Vikent'ev, I.V.; Lein, A.Yu.; Gurvich, E.G.; Sagalevich, A.M.; Simonov, V.A.; Ikorskii, S.V.; Stavrova, O.O.; Apollonov, V.N.","Mineralogical-geochemical peculiarities of hydrothermal sulfide ores and fluids in the Rainbow field associated with serpentinites, Mid-Atlantic Ridge (36Â°14' N)","Geology of Ore Deposits","","10757015",NA,"2002","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"718",2021,"Boyer, Arnaud Le; Alford, Matthew H.; Couto, Nicole; Goldin, Michael; Lastuka, Sean; Goheen, Sara; Nguyen, San; Lucas, Andrew J.; Hennon, Tyler D.","Modular, flexible, low-cost microstructure measurements: The epsilometer","Journal of Atmospheric and Oceanic Technology","","07390572","10.1175/JTECH-D-20-0116.1","2021","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"719",2020,"Bond, Todd; Mueller, Robert J.; Birt, Matthew J.; Prince, Jane; Miller, Karen; Partridge, Julian C.; McLean, Dianne L.","Mystery pufferfish create elaborate circular nests at mesophotic depths in Australia","Journal of Fish Biology","","00221112","10.1111/jfb.14506","2020","","",1,0,0,0,0,0,0,0,0,0,0,0,0
"720",1987,"Boulegue, Jacques; Iiyama, Jean T.; Charlou, Jean-Luc; Jedwab, Jacques","Nankai trough, japan trench and kuril trench: geochemistry of fluids sampled by submersible ""Nautile""","Earth and Planetary Science Letters","","0012821X","10.1016/0012-821X(87)90078-1","1987","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"721",2012,"Bowen, A.D.; Jakuba, M.V.; Yoerger, D.R.; Whitcomb, L.L.; Kinsey, J.C.; Mayer, L.; German, C.R.","Nereid UI: A light-tethered remotely operated vehicle for under-ice telepresence","Society of Petroleum Engineers - Arctic Technology Conference 2012","","","10.4043/23741-ms","2012","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"722",2019,"Bonifacio, Paulo; Menot, Lenaick","New genera and species from the Equatorial Pacific provide phylogenetic insights into deep-sea Polynoidae (Annelida)","Zoological Journal of the Linnean Society","","00244082","10.1093/zoolinnean/zly063","2019","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"723",2017,"Boury-Esnault, Nicole; Vacelet, Jean; Dubois, Maude; Goujard, Adrien; Fourt, Maia; Perez, Thierry; Chevaldonne, Pierre","New hexactinellid sponges from deep Mediterranean canyons","Zootaxa","","11755326","10.11646/zootaxa.4236.1.6","2017","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"724",2008,"Botelho, Silvia; Drews Jr., Paulo; Leivas, Gabriel","NLMAP - Visual-based self localization and mapping for autonomous underwater vehicles","OCEANS 2008","","","10.1109/OCEANS.2008.5152106","2008","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"725",1996,"Bourgeois, B.; Kalcic, M.; Harris, M.","ORCA - Oceanographic remotely controlled automaton","Hydrographic Journal","","03097846",NA,"1996","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"726",2019,"Boavida, Joana; Becheler, Ronan; Choquet, Marvin; Frank, Norbert; Taviani, Marco; Bourillet, Jean-Francois; Meistertzheim, Anne-Leila; Grehan, Anthony; Savini, Alessandra; Arnaud-Haond, Sophie","Out of the Mediterranean? Post-glacial colonization pathways varied among cold-water coral species","Journal of Biogeography","","03050270","10.1111/jbi.13570","2019","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"727",2016,"Boavida, Joana; Assis, Jorge; Silva, Inga; Serrão, Ester A.","Overlooked habitat of a vulnerable gorgonian revealed in the Mediterranean and Eastern Atlantic by ecological niche modelling","Scientific Reports","","20452322","10.1038/srep36460","2016","","",0,0,0,0,0,0,1,0,0,0,0,0,0
"728",2003,"Bosellini, Francesca R.; Papazzoni, Cesare A.","Palaeoecological significance of coral-encrusting foraminiferan associations: A case-study from the Upper Eocene of northern Italy","Acta Palaeontologica Polonica","","05677920",NA,"2003","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"729",2015,"Bo, Marzia; Bavestrello, Giorgio; Angiolillo, Michela; Calcagnile, Lucio; Canese, Simonepietro; Cannas, Rita; Cau, Alessandro; D'Elia, Marisa; D'Oriano, Filippo; Follesa, Maria Cristina; Quarta, Gianluca; Cau, Angelo","Persistence of pristine deep-sea coral gardens in the Mediterranean Sea (SW Sardinia)","PLoS ONE","","19326203","10.1371/journal.pone.0119393","2015","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"730",1972,"Boegeman, Dwight E.; Miller, Gordon J.; Normark, William R.","Precise positioning for near-bottom equipment using a relay transponder","Marine Geophysical Researches","","15730581","10.1007/BF00286740","1972","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"731",2008,"Boyd, Philip W.; Gall, Mark P.; Silver, Mary W.; Coale, Susan L.; Bidigare, Robert R.; Bishop, James L.K.B.","Quantifying the surface-subsurface biogeochemical coupling during the VERTIGO ALOHA and K2 studies","Deep-Sea Research Part II: Topical Studies in Oceanography","","09670645","10.1016/j.dsr2.2008.04.010","2008","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"732",2003,"Bock, Yehuda; Chadwell, Dave; Spiess, Fred","Real-time positioning and navigation for ocean applications using GPS","Oceans Conference Record (IEEE)","","01977385",NA,"2003","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"733",2021,"Boehringer, Lilian; Ramalho, Sofia P.; Marcon, Yann; Boetius, Antje; Cuvelier, Daphne; Purser, Autun","Recovery of Paleodictyon patterns after simulated mining activity on Pacific nodule fields","Marine Biodiversity","","18671616","10.1007/s12526-021-01237-1","2021","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"734",2021,"Bongaerts P, Dubé C, Prata KE, Gijsbers JC, Achlatis M, Hernandez-Agreda A","Reefscape Genomics: Leveraging Advances in 3D Imaging to Assess Fine-Scale Patterns of Genomic Variation on Coral Reefs","Frontiers in Marine Science","","","10.3389/fmars.2021.638979","2021","","",0,1,0,0,0,0,1,0,0,0,0,0,0
"735",2012,"Bond, Mark E.; Babcock, Elizabeth A.; Pikitch, Ellen K.; Abercrombie, Debra L.; Lamb, Norlan F.; Chapman, Demian D.","Reef sharks exhibit site-fidelity and higher relative abundance in marine reserves on the Mesoamerican Barrier reef","PLoS ONE","","19326203","10.1371/journal.pone.0032983","2012","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"736",2015,"Boyd, Philip W.; McDonnell, Andrew; Valdez, Jim; LeFevre, Dominique; Gall, Mark P.","RESPIRE: An in situ particle interceptor to conduct particle remineralization and microbial dynamics studies in the oceans' Twilight Zone","LIMNOLOGY AND OCEANOGRAPHY-METHODS","","1541-5856","10.1002/lom3.10043","2015","","",0,0,0,0,0,0,0,1,0,0,0,0,0
"737",2022,"Boyd, P. W.; McDonnell, A.; Valdez, J.; LeFevre, D.; Gall, M. P.","RESPIRE: An in situ particle interceptor to conduct particle remineralization and microbial dynamics studies in the oceans' Twilight Zone (vol 13, pg 494, 2015)","LIMNOLOGY AND OCEANOGRAPHY-METHODS","","1541-5856","10.1002/lom3.10474","2022","","",0,0,0,0,0,0,1,0,0,0,0,0,0
"738",1998,"Bono, R.; Bruzzone, G.; Bruzzone, G.; Caccia, M.; Spirandelli, E.; Veruggio, G.","ROMEO goes to antarctica","Oceans Conference Record (IEEE)","","01977385",NA,"1998","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"739",1989,"Bolsenga, S.J.; Gannon, J.E.; Kennedy, G.; North, D.C.; Herdendorf, C.E.","ROV dives under great lakes ice","Cold Regions Science and Technology","","0165232X","10.1016/0165-232X(89)90010-4","1989","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"740",2018,"Bourguignon, Silvia N.; Bastos, Alex C.; Quaresma, Valeria S.; Vieira, Fernanda V.; Pinheiro, Hudson; Amado-Filho, Gilberto Menezes; de Moura, Rodrigo Leao; Teixeira, Joao Batista","Seabed morphology and sedimentary regimes defining fishing grounds along the eastern Brazilian shelf","Geosciences (Switzerland)","","20763263","10.3390/geosciences8030091","2018","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"741",2018,"Borovick, Alexey; Inzartsev, Alexander; Kamorniy, Alexander; Scherbatyuk, Alexander; Sporyshev, Maxim","Some results of the ecological investigation in Zolotoy Rog Bay using AUV MMT 3000","2018 OCEANS - MTS/IEEE Kobe Techno-Oceans, OCEANS - Kobe 2018","","","10.1109/OCEANSKOBE.2018.8559310","2018","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"742",2020,"Bouchet, Phil J.; Letessier, Tom B.; Caley, Michael Julian; Nichol, Scott L.; Hemmi, Jan M.; Meeuwig, Jessica J.","Submerged carbonate banks aggregate pelagic megafauna in offshore tropical australia","Frontiers in Marine Science","","22967745","10.3389/fmars.2020.00530","2020","","",0,0,0,0,0,0,0,1,0,0,0,0,0
"743",2011,"Bongaerts, Pim; Sampayo, Eugenia M.; Bridge, Thomas C.L.; Ridgway, Tyrone; Vermeulen, Francisca; Englebert, Norbert; Webster, Jody M.; Hoegh-Guldberg, Ove","<i>Symbiodinium</i> diversity in mesophotic coral communities on the Great Barrier Reef: A first assessment","Marine Ecology Progress Series","","01718630","10.3354/meps09315","2011","","",0,0,0,1,0,0,0,0,0,0,0,0,0
"744",2015,"Bornt, Katrina R.; McLean, Dianne L.; Langlois, Tim J.; Harvey, Euan S.; Bellchambers, Lynda M.; Evans, Scott N.; Newman, Stephen J.","Targeted demersal fish species exhibit variable responses to long-term protection from fishing at the Houtman Abrolhos Islands","Coral Reefs","","07224028","10.1007/s00338-015-1336-5","2015","","",0,0,0,0,0,1,0,0,0,0,0,0,0
"745",1993,"Bourgois, J.; Lagabrielle, Y.; De Wever, P.; Suess, E.","Tectonic history of the northern Peru convergent margin during the past 400 ka","Geology","","00917613","10.1130/0091-7613(1993)021<0531:THOTNP>2.3.CO;2","1993","","",0,0,0,0,1,0,0,0,0,0,0,0,0
"746",2021,"Boscolo-Galazzo, Flavia; Crichton, Katherine A.; Ridgwell, Andy; Mawbey, Elaine M.; Wade, Bridget S.; Pearson, Paul N.","Temperature controls carbon cycling and biological evolution in the ocean twilight zone","Science (New York, N.Y.)","","00368075","10.1126/science.abb6643","2021","","",0,0,0,0,0,0,0,1,0,0,0,0,0
"747",2023,"Bo, Marzia; Enrichetti, Francesco; Betti, Federico; Gay, Guido; Quarta, Gianluca; Calcagnile, Lucio; Bavestrello, Giorgio","The cold-water coral province of the eastern Ligurian Sea (NW Mediterranean Sea): historical and novel evidences","Frontiers in Marine Science","","22967745","10.3389/fmars.2023.1114417","2023","","",0,0,0,0,0,1,0,0,0,0,0,0,0
